"Root"|"Meaning in English"|"Origin language"|"Etymology (root origin)"|"English examples
"|
"<b>ab-</b>, <b>a-</b>, <b>abs-</b>, <b>au-</b><sup id=""cite_ref-1"" class=""reference""><a href=""#cite_note-1"">[1]</a></sup>"|"away from, down, off"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/ab#Latin"" class=""extiw"" title=""wikt:ab"">ab</a></i>"|"abduction, aberrant, abnormal, <a href=""/wiki/Abrasion_(mechanical)"" title=""Abrasion (mechanical)"">abrasion</a>, absent, absorb, abstain, abstemious, <a href=""/wiki/Abstraction"" title=""Abstraction"">abstraction</a>, aversion, avulsion
"|
"<b>abac-</b><sup id=""cite_ref-2"" class=""reference""><a href=""#cite_note-2"">[2]</a></sup>"|"slab"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CE%B2%CE%B1%CE%BE#Ancient_Greek"" class=""extiw"" title=""wikt:ἄβαξ"">ἄβαξ, ἄβακος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ábax, ábakos</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%B2%CE%B1%CE%BA%CE%AF%CF%83%CE%BA%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἀβακίσκος"">ἀβακίσκος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>abakískos</i></span>)"|"abaciscus, <a href=""/wiki/Abacus"" title=""Abacus"">abacus</a>, <a href=""/wiki/Abax"" class=""mw-redirect"" title=""Abax"">abax</a>
"|
"<b>ac-</b>, <b>acm-</b>, <b>acr-</b><sup id=""cite_ref-3"" class=""reference""><a href=""#cite_note-3"">[3]</a></sup>"|"point"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BA%CE%AE#Ancient_Greek"" class=""extiw"" title=""wikt:ἀκή"">ἀκή</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>akḗ</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BA%CE%AF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἀκίς"">ἀκίς, ἀκίδος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>akís, akídos</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀκόνη</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>akónē</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἄκρος</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ákros</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἄκρον</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ákron</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἄκρα</span>"|"<a href=""/wiki/Acidanthera"" class=""mw-redirect"" title=""Acidanthera"">acidanthera</a>, acme, acmeism, acmesthesia, acmic, acne, paragon
"|
"<b>ac-</b><sup id=""cite_ref-4"" class=""reference""><a href=""#cite_note-4"">[4]</a></sup>"|"cure"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BA%CE%AD%CE%BF%CE%BC%CE%B1%CE%B9#Ancient_Greek"" class=""extiw"" title=""wikt:ἀκέομαι"">ἀκεῖσθαι</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>akeîsthai</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BA%CE%AE#Ancient_Greek"" class=""extiw"" title=""wikt:ἀκή"">ἀκή</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>akḗ</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CE%BA%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἄκος"">ἄκος, ἄκεος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ákos, ákeos</i></span>)"|"autacoid, panacea
"|
"<b>academ-</b>"|"<a href=""/wiki/Akademos"" class=""mw-redirect"" title=""Akademos"">Akademos</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%88%CE%BA%CE%AC%CE%B4%CE%B7%CE%BC%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:Ἀκάδημος"">Ἀκάδημος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>Akádēmos</i></span>)"|"academe, <a href=""/wiki/Academia"" class=""mw-redirect"" title=""Academia"">academia</a>, academic, <a href=""/wiki/Academy"" title=""Academy"">academy</a>
"|
"<b>acanth-</b>"|"<a href=""/wiki/Thorns,_spines,_and_prickles"" title=""Thorns, spines, and prickles"">thorn</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BA%CE%AE#Ancient_Greek"" class=""extiw"" title=""wikt:ἀκή"">ἀκή</a></span>, <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CE%BA%CE%B1%CE%BD%CE%B8%CE%B1#Ancient_Greek"" class=""extiw"" title=""wikt:ἄκανθα"">ἄκανθα</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ákantha</i></span>)"|"<a href=""/wiki/Acanthaster"" title=""Acanthaster"">Acanthaster</a>, acanthion, <a href=""/wiki/Acanthite"" title=""Acanthite"">acanthite</a>, <a href=""/wiki/Acanthocephala"" title=""Acanthocephala"">Acanthocephala</a>, acanthocephaliasis, <a href=""/wiki/Acanthocyte"" title=""Acanthocyte"">acanthocyte</a>, <i><a href=""/wiki/Acanthomintha"" title=""Acanthomintha"">Acanthomintha</a></i>, <a href=""/wiki/Acanthosaura"" title=""Acanthosaura"">Acanthosaura</a>, <a href=""/wiki/Acanthus_(plant)"" title=""Acanthus (plant)"">Acanthus</a>, <i><a href=""/wiki/Metriacanthosaurus"" title=""Metriacanthosaurus"">Metriacanthosaurus</a></i>, <a href=""/wiki/Neuroacanthocytosis"" title=""Neuroacanthocytosis"">neuroacanthocytosis</a>
"|
"<b>acar-</b><sup id=""cite_ref-5"" class=""reference""><a href=""#cite_note-5"">[5]</a></sup>"|"mite"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%BA%CE%B1%CF%81%CE%AF#Ancient_Greek"" class=""extiw"" title=""wikt:ἀκαρί"">ἀκαρί</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>akarí</i></span>)"|"acariasis, acarid, <a href=""/wiki/Acariphagous"" class=""mw-redirect"" title=""Acariphagous"">acariphagous</a>, acaroid, <a href=""/wiki/Acarology"" title=""Acarology"">acarology</a>, acarophobia, acarus
"|
"<b>accipitr-</b>"|"hawk"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/accipiter#Latin"" class=""extiw"" title=""wikt:accipiter"">accipiter</a></i>"|"<a href=""/wiki/Accipiter"" title=""Accipiter"">Accipiter</a>, accipitrine
"|
"<b>acer-</b>, <b>acri-</b>"|"bitter, sharp, sour"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/acer#Latin"" class=""extiw"" title=""wikt:acer"">ācer, ācris</a></i>, <i lang=""la""><a href=""https://en.wiktionary.org/wiki/acerbus#Latin"" class=""extiw"" title=""wikt:acerbus"">acerbus</a></i>, <i lang=""la""><a href=""https://en.wiktionary.org/wiki/aceo#Latin"" class=""extiw"" title=""wikt:aceo"">acere</a></i>"|"acerbic, acrid, acrimonious, acrimony, exacerbate
"|
"<b>acet-</b>"|"sour, <a href=""/wiki/Vinegar"" title=""Vinegar"">vinegar</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/acetum#Latin"" class=""extiw"" title=""wikt:acetum"">acētum</a></i>"|"<a href=""/wiki/Acetabulum"" title=""Acetabulum"">acetabulum</a>, <a href=""/wiki/Acetate"" title=""Acetate"">acetate</a>, <a href=""/wiki/Acetic_acid"" title=""Acetic acid"">acetic</a>, <a href=""/wiki/Acetone"" title=""Acetone"">acetone</a>, acetum, <a href=""/wiki/Cellulose_triacetate"" title=""Cellulose triacetate"">triacetate</a>
"|
